Davos-Seehornwald
Messstation Nr.:   4
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    178.56      1.94
2022 01 02 01 40    212.80      1.60
2022 01 02 01 50    203.01      1.39
2022 01 02 02 00    217.52      1.54
2022 01 02 02 10    176.75      0.95
2022 01 02 02 20    187.13      2.12
2022 01 02 02 30    178.30      2.58
2022 01 02 02 40    206.02      1.59
2022 01 02 02 50    201.19      1.56
2022 01 02 03 00    208.93      1.83
2022 01 02 03 10    196.10      1.58
2022 01 02 03 20    207.72      1.65
2022 01 02 03 30    198.52      1.25
2022 01 02 03 40    185.05      1.75
2022 01 02 03 50    197.07      1.96
2022 01 02 04 00    188.15      1.65
2022 01 02 04 10    188.48      1.36
2022 01 02 04 20    165.13      1.37
2022 01 02 04 30    159.53      0.84
2022 01 02 04 40    189.85      0.93
2022 01 02 04 50    194.31      1.89
2022 01 02 05 00    206.73      1.43
2022 01 02 05 10    189.75      1.41
2022 01 02 05 20    203.38      0.80
2022 01 02 05 30     39.80      0.74
2022 01 02 05 40    198.06      2.76
2022 01 02 05 50    187.48      2.15
2022 01 02 06 00    198.99      1.90
2022 01 02 06 10    196.08      2.02
2022 01 02 06 20    214.08      1.83
2022 01 02 06 30    196.48      1.94
2022 01 02 06 40    192.97      1.74
2022 01 02 06 50    194.93      2.05
2022 01 02 07 00    177.44      2.38
2022 01 02 07 10    192.40      1.70
2022 01 02 07 20    187.74      1.92
