Dübendorf-Empa
Messstation Nr.:   5
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    136.62      0.76
2022 01 02 01 40    118.34      1.11
2022 01 02 01 50    115.54      1.80
2022 01 02 02 00    106.56      1.43
2022 01 02 02 10    107.36      1.66
2022 01 02 02 20     76.52      1.03
2022 01 02 02 30    101.89      0.74
2022 01 02 02 40    133.84      0.42
2022 01 02 02 50     90.68      0.54
2022 01 02 03 00    131.07      1.31
2022 01 02 03 10    336.80      0.52
2022 01 02 03 20     22.46      0.28
2022 01 02 03 30     87.50      0.85
2022 01 02 03 40     85.24      0.93
2022 01 02 03 50     97.79      0.65
2022 01 02 04 00    169.89      0.62
2022 01 02 04 10    282.84      0.51
2022 01 02 04 20    232.57      0.43
2022 01 02 04 30    353.66      0.26
2022 01 02 04 40     32.79      0.60
2022 01 02 04 50      5.82      0.48
2022 01 02 05 00     13.73      0.46
2022 01 02 05 10     51.59      1.03
2022 01 02 05 20     36.71      1.18
2022 01 02 05 30     36.35      0.50
2022 01 02 05 40    256.42      0.22
2022 01 02 05 50     92.54      0.71
2022 01 02 06 00    104.92      0.57
2022 01 02 06 10     67.14      0.66
2022 01 02 06 20    109.61      0.74
2022 01 02 06 30     74.16      0.63
2022 01 02 06 40      8.36      0.57
2022 01 02 06 50     81.79      0.64
2022 01 02 07 00    113.35      1.19
2022 01 02 07 10    111.79      0.56
2022 01 02 07 20    128.78      0.27
2022 01 02 07 30    289.81      0.40
2022 01 02 07 40    329.73      0.50
2022 01 02 07 50     64.63      0.50
2022 01 02 08 00     90.73      0.69
2022 01 02 08 10    113.56      1.14
2022 01 02 08 20    110.76      1.33
2022 01 02 08 30    106.14      1.45
2022 01 02 08 40    120.24      1.77
2022 01 02 08 50    110.76      1.84
2022 01 02 09 00    111.41      1.55
2022 01 02 09 10    114.44      1.18
2022 01 02 09 20     83.18      0.84
2022 01 02 09 30      0.26      0.69
2022 01 02 09 40    298.27      0.43
2022 01 02 09 50    344.10      0.29
2022 01 02 10 00    156.31      0.51
2022 01 02 10 10    270.50      0.63
2022 01 02 10 20    247.47      0.88
2022 01 02 10 30    256.01      0.39
2022 01 02 10 40     84.27      1.07
2022 01 02 10 50     29.16      1.29
2022 01 02 11 00    359.45      0.76
2022 01 02 11 10     54.28      0.54
2022 01 02 11 20     22.93      0.64
2022 01 02 11 30     60.90      0.51
2022 01 02 11 40     73.60      0.61
2022 01 02 11 50     23.74      0.73
2022 01 02 12 00     19.35      0.71
2022 01 02 12 10     34.78      0.77
2022 01 02 12 20    263.87      0.54
2022 01 02 12 30    306.28      0.57
2022 01 02 12 40    312.49      1.07
2022 01 02 12 50    316.08      0.83
2022 01 02 13 00    324.66      0.97
2022 01 02 13 10      7.98      0.87
2022 01 02 13 20      7.87      1.12
2022 01 02 13 30     53.17      1.11
2022 01 02 13 40    335.15      1.89
2022 01 02 13 50    329.75      1.49
2022 01 02 14 00    118.45      1.87
2022 01 02 14 10    120.12      1.55
2022 01 02 14 20    111.72      1.02
2022 01 02 14 30    131.80      0.67
2022 01 02 14 40    131.55      0.91
2022 01 02 14 50    126.69      1.19
2022 01 02 15 00    112.54      1.30
2022 01 02 15 10    113.72      1.56
2022 01 02 15 20    351.96      2.05
2022 01 02 15 30     42.82      0.61
2022 01 02 15 40    311.56      1.32
2022 01 02 15 50    315.39      1.57
2022 01 02 16 00    263.31      0.51
2022 01 02 16 10     28.49      0.53
2022 01 02 16 20     36.40      1.11
2022 01 02 16 30     76.25      1.12
2022 01 02 16 40    121.67      0.96
2022 01 02 16 50    128.89      1.29
2022 01 02 17 00     76.48      0.99
2022 01 02 17 10     22.51      1.11
2022 01 02 17 20     19.32      0.99
2022 01 02 17 30    233.32      1.53
2022 01 02 17 40    251.03      4.69
2022 01 02 17 50    255.83      4.01
2022 01 02 18 00    272.50      4.08
2022 01 02 18 10    287.24      2.78
2022 01 02 18 20    304.99      2.63
2022 01 02 18 30    315.82      3.64
2022 01 02 18 40    304.02      3.42
2022 01 02 18 50    301.35      2.63
2022 01 02 19 00    284.24      0.75
2022 01 02 19 10     18.85      1.57
2022 01 02 19 20    346.95      2.02
2022 01 02 19 30    298.22      2.05
2022 01 02 19 40    226.38      1.09
2022 01 02 19 50    124.92      0.59
2022 01 02 20 00    323.50      0.82
2022 01 02 20 10    310.21      2.69
2022 01 02 20 20    278.96      3.57
2022 01 02 20 30    272.99      3.48
