Bern-Bollwerk
Messstation Nr.:   2
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    159.67      1.06
2022 01 02 01 40    179.51      0.87
2022 01 02 01 50    192.27      1.12
2022 01 02 02 00    179.78      1.52
2022 01 02 02 10    191.08      1.59
2022 01 02 02 20    198.08      1.52
2022 01 02 02 30    167.16      1.79
2022 01 02 02 40    170.23      1.26
2022 01 02 02 50    152.35      0.85
2022 01 02 03 00    177.71      1.09
2022 01 02 03 10    179.01      1.35
2022 01 02 03 20    173.77      1.10
2022 01 02 03 30    178.43      0.85
2022 01 02 03 40    202.77      0.89
2022 01 02 03 50    307.14      0.58
2022 01 02 04 00    320.05      0.40
2022 01 02 04 10    146.95      1.27
2022 01 02 04 20    163.13      1.27
2022 01 02 04 30    164.60      1.91
2022 01 02 04 40    190.44      1.22
2022 01 02 04 50    178.63      1.68
2022 01 02 05 00    210.89      1.67
2022 01 02 05 10    153.68      1.13
2022 01 02 05 20    180.48      1.77
2022 01 02 05 30    186.59      1.40
2022 01 02 05 40    193.35      1.40
2022 01 02 05 50    248.14      1.19
2022 01 02 06 00    120.87      0.49
2022 01 02 06 10    101.65      0.41
2022 01 02 06 20    313.85      0.65
2022 01 02 06 30     17.28      0.25
2022 01 02 06 40    236.06      0.84
2022 01 02 06 50    202.87      0.96
2022 01 02 07 00    339.08      0.75
2022 01 02 07 10     94.28      0.90
2022 01 02 07 20    147.93      0.83
2022 01 02 07 30    146.00      1.32
2022 01 02 07 40    101.58      0.58
2022 01 02 07 50    170.47      0.73
2022 01 02 08 00    203.69      1.40
2022 01 02 08 10    172.22      1.33
2022 01 02 08 20    155.32      1.87
2022 01 02 08 30    189.91      1.90
2022 01 02 08 40    199.30      1.67
2022 01 02 08 50    143.76      1.43
2022 01 02 09 00    168.05      1.78
2022 01 02 09 10    192.93      1.69
2022 01 02 09 20    184.70      1.66
2022 01 02 09 30    160.16      2.00
2022 01 02 09 40    187.31      1.51
2022 01 02 09 50    171.80      1.26
2022 01 02 10 00    222.36      1.11
2022 01 02 10 10    173.96      1.14
2022 01 02 10 20    194.20      0.89
2022 01 02 10 30     76.12      0.46
2022 01 02 10 40    179.08      0.86
2022 01 02 10 50    175.52      1.05
2022 01 02 11 00    145.97      1.69
2022 01 02 11 10    152.37      1.74
2022 01 02 11 20    147.87      0.91
2022 01 02 11 30    162.23      0.88
2022 01 02 11 40    173.51      1.42
2022 01 02 11 50    191.32      1.17
2022 01 02 12 00    168.94      1.27
2022 01 02 12 10    165.02      1.18
