Rigi-Seebodenalp
Messstation Nr.:  13
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    204.16      2.69
2022 01 02 01 40    218.99      2.58
2022 01 02 01 50    217.95      2.58
2022 01 02 02 00    241.88      1.50
2022 01 02 02 10    216.01      2.67
2022 01 02 02 20    238.86      1.45
2022 01 02 02 30    222.33      1.63
2022 01 02 02 40    192.08      3.17
2022 01 02 02 50    251.03      1.49
2022 01 02 03 00    318.77      0.94
2022 01 02 03 10    156.85      1.17
2022 01 02 03 20    143.14      1.75
2022 01 02 03 30    228.45      0.75
2022 01 02 03 40    193.38      0.35
2022 01 02 03 50    140.81      1.51
2022 01 02 04 00     34.70      0.67
2022 01 02 04 10    109.47      2.21
2022 01 02 04 20    128.72      1.96
2022 01 02 04 30    188.20      0.97
2022 01 02 04 40    215.08      0.68
2022 01 02 04 50    217.10      0.77
2022 01 02 05 00    234.83      0.90
2022 01 02 05 10    224.93      1.16
2022 01 02 05 20    198.53      2.35
2022 01 02 05 30    201.93      2.90
2022 01 02 05 40    205.69      3.49
2022 01 02 05 50    232.49      2.66
2022 01 02 06 00    230.77      1.81
2022 01 02 06 10    211.25      1.55
2022 01 02 06 20    223.70      0.85
2022 01 02 06 30     26.77      0.60
2022 01 02 06 40     91.68      1.56
2022 01 02 06 50     34.10      1.05
2022 01 02 07 00     87.15      2.29
2022 01 02 07 10    252.33      1.14
2022 01 02 07 20    233.55      1.50
2022 01 02 07 30    254.32      1.18
2022 01 02 07 40    205.36      1.59
2022 01 02 07 50    214.81      3.74
2022 01 02 08 00    282.77      1.39
2022 01 02 08 10    118.07      1.22
2022 01 02 08 20    213.64      1.85
2022 01 02 08 30    230.96      1.56
2022 01 02 08 40    222.67      2.67
2022 01 02 08 50    226.22      2.07
2022 01 02 09 00    216.56      2.38
2022 01 02 09 10    217.78      1.89
2022 01 02 09 20    232.89      2.22
2022 01 02 09 30    228.62      2.35
2022 01 02 09 40    245.88      2.54
2022 01 02 09 50    227.14      3.26
2022 01 02 10 00    225.82      3.23
2022 01 02 10 10    234.02      3.15
2022 01 02 10 20    223.43      4.01
2022 01 02 10 30    243.99      3.13
2022 01 02 10 40    265.82      3.45
2022 01 02 10 50    258.92      3.37
2022 01 02 11 00    247.97      4.43
2022 01 02 11 10    260.33      4.71
2022 01 02 11 20    258.07      4.93
2022 01 02 11 30    265.44      5.96
2022 01 02 11 40    271.04      4.98
2022 01 02 11 50    267.25      6.09
2022 01 02 12 00    264.02      5.65
2022 01 02 12 10    272.05      5.49
2022 01 02 12 20    277.59      4.97
2022 01 02 12 30    276.68      5.05
2022 01 02 12 40    276.94      5.61
2022 01 02 12 50    278.32      6.12
2022 01 02 13 00    279.32      6.29
2022 01 02 13 10    277.94      5.37
2022 01 02 13 20    275.82      5.39
2022 01 02 13 30    269.23      5.00
2022 01 02 13 40    275.77      5.45
2022 01 02 13 50    269.14      5.24
2022 01 02 14 00    260.72      5.77
2022 01 02 14 10    265.51      6.35
2022 01 02 14 20    266.96      6.52
2022 01 02 14 30    265.92      6.09
2022 01 02 14 40    258.12      4.81
2022 01 02 14 50    263.93      5.16
2022 01 02 15 00    251.11      4.01
2022 01 02 15 10    248.27      3.26
2022 01 02 15 20    259.03      3.27
2022 01 02 15 30    249.23      2.87
2022 01 02 15 40    243.39      3.65
2022 01 02 15 50    260.17      5.21
2022 01 02 16 00    266.69      5.09
2022 01 02 16 10    265.60      4.72
2022 01 02 16 20    259.62      4.30
2022 01 02 16 30    260.96      4.31
2022 01 02 16 40    260.74      4.52
2022 01 02 16 50    264.26      4.29
2022 01 02 17 00    273.54      4.10
2022 01 02 17 10    277.26      4.81
2022 01 02 17 20    271.92      5.14
2022 01 02 17 30    268.66      5.38
2022 01 02 17 40    264.60      6.62
2022 01 02 17 50    267.12      5.54
2022 01 02 18 00    270.15      5.74
2022 01 02 18 10    265.43      5.53
2022 01 02 18 20    266.68      5.06
2022 01 02 18 30    251.84      5.69
2022 01 02 18 40    252.73      5.37
2022 01 02 18 50    251.58      4.89
2022 01 02 19 00    251.98      5.44
2022 01 02 19 10    262.07      4.42
2022 01 02 19 20    256.81      5.00
2022 01 02 19 30    258.65      5.14
2022 01 02 19 40    262.20      5.47
2022 01 02 19 50    265.98      5.58
2022 01 02 20 00    272.85      4.54
2022 01 02 20 10    266.74      3.87
2022 01 02 20 20    262.14      4.36
2022 01 02 20 30    257.89      4.92
2022 01 02 20 40    263.25      5.08
2022 01 02 20 50    262.30      6.19
2022 01 02 21 00    265.76      5.73
2022 01 02 21 10    266.01      4.68
2022 01 02 21 20    276.05      4.20
2022 01 02 21 30    284.60      3.12
2022 01 02 21 40    276.35      2.69
2022 01 02 21 50    265.78      2.41
2022 01 02 22 00    284.38      3.89
2022 01 02 22 10    264.58      4.38
2022 01 02 22 20    247.98      3.04
2022 01 02 22 30    249.55      2.85
2022 01 02 22 40    248.20      2.78
2022 01 02 22 50    269.70      2.98
2022 01 02 23 00    265.74      2.85
2022 01 02 23 10    274.63      3.70
2022 01 02 23 20    289.63      4.63
2022 01 02 23 30    292.00      3.30
