Beromünster
Messstation Nr.:  20
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    240.30      4.28
2022 01 02 01 40    248.21      4.14
2022 01 02 01 50    251.15      5.25
2022 01 02 02 00    246.51      5.09
2022 01 02 02 10    235.72      5.47
2022 01 02 02 20    236.30      5.30
2022 01 02 02 30    245.74      4.06
2022 01 02 02 40    258.90      3.67
2022 01 02 02 50    266.66      3.77
2022 01 02 03 00    264.52      3.35
2022 01 02 03 10    262.49      3.46
2022 01 02 03 20    250.55      3.49
2022 01 02 03 30    236.53      4.72
2022 01 02 03 40    236.87      4.77
2022 01 02 03 50    237.34      4.77
2022 01 02 04 00    238.18      4.16
2022 01 02 04 10    246.64      3.33
2022 01 02 04 20    240.65      2.89
2022 01 02 04 30    246.22      2.67
2022 01 02 04 40    257.88      2.75
2022 01 02 04 50    247.99      2.65
2022 01 02 05 00    252.68      2.96
2022 01 02 05 10    248.20      3.01
2022 01 02 05 20    250.37      2.83
2022 01 02 05 30    263.48      3.48
2022 01 02 05 40    252.07      3.49
2022 01 02 05 50    246.42      2.67
2022 01 02 06 00    256.69      2.65
2022 01 02 06 10    249.69      3.44
2022 01 02 06 20    254.29      4.16
2022 01 02 06 30    241.03      3.84
2022 01 02 06 40    252.48      4.01
2022 01 02 06 50    262.48      4.21
2022 01 02 07 00    254.34      5.30
2022 01 02 07 10    248.98      5.17
2022 01 02 07 20    243.82      5.10
2022 01 02 07 30    244.55      5.72
2022 01 02 07 40    244.05      5.46
2022 01 02 07 50    240.76      5.20
2022 01 02 08 00    241.74      5.68
2022 01 02 08 10    249.54      6.00
2022 01 02 08 20    253.95      5.84
2022 01 02 08 30    254.42      5.88
2022 01 02 08 40    253.37      6.24
2022 01 02 08 50    253.49      6.39
2022 01 02 09 00    254.55      6.82
2022 01 02 09 10    249.73      6.43
2022 01 02 09 20    238.71      6.24
2022 01 02 09 30    239.54      5.61
2022 01 02 09 40    246.35      5.20
2022 01 02 09 50    242.24      4.67
2022 01 02 10 00    251.57      4.50
2022 01 02 10 10    251.11      5.36
2022 01 02 10 20    252.48      5.27
2022 01 02 10 30    259.91      6.05
2022 01 02 10 40    259.75      6.46
2022 01 02 10 50    264.05      6.52
2022 01 02 11 00    261.30      6.45
2022 01 02 11 10    262.13      5.99
2022 01 02 11 20    259.78      6.48
2022 01 02 11 30    260.35      6.40
2022 01 02 11 40    261.93      6.38
2022 01 02 11 50    263.62      6.86
2022 01 02 12 00    266.33      6.98
2022 01 02 12 10    267.78      6.42
2022 01 02 12 20    267.91      6.63
2022 01 02 12 30    267.84      6.20
2022 01 02 12 40    267.47      7.15
2022 01 02 12 50    266.83      6.88
2022 01 02 13 00    262.60      7.06
2022 01 02 13 10    264.52      6.67
2022 01 02 13 20    263.66      5.89
2022 01 02 13 30    263.04      5.80
2022 01 02 13 40    269.19      4.90
2022 01 02 13 50    260.05      5.79
2022 01 02 14 00    258.37      5.71
2022 01 02 14 10    256.45      6.18
2022 01 02 14 20    259.06      6.36
2022 01 02 14 30    260.27      6.32
2022 01 02 14 40    254.55      6.10
2022 01 02 14 50    256.24      5.90
2022 01 02 15 00    255.74      5.09
2022 01 02 15 10    266.18      4.79
2022 01 02 15 20    260.76      5.43
2022 01 02 15 30    257.23      4.99
2022 01 02 15 40    261.22      4.72
2022 01 02 15 50    266.04      4.42
2022 01 02 16 00    262.39      5.40
2022 01 02 16 10    256.50      4.96
2022 01 02 16 20    260.18      4.88
2022 01 02 16 30    265.64      5.04
2022 01 02 16 40    261.74      5.45
2022 01 02 16 50    250.37      5.26
2022 01 02 17 00    250.40      5.36
2022 01 02 17 10    259.93      5.56
2022 01 02 17 20    258.43      5.49
2022 01 02 17 30    252.03      6.09
2022 01 02 17 40    249.55      6.94
2022 01 02 17 50    250.56      7.02
2022 01 02 18 00    251.67      7.35
2022 01 02 18 10    251.76      7.57
2022 01 02 18 20    252.78      7.82
2022 01 02 18 30    254.68      7.45
2022 01 02 18 40    253.07      8.22
2022 01 02 18 50    251.48      7.04
2022 01 02 19 00    254.77      6.53
2022 01 02 19 10    256.43      5.93
2022 01 02 19 20    264.60      6.29
2022 01 02 19 30    268.32      5.95
2022 01 02 19 40    264.56      6.99
2022 01 02 19 50    261.26      7.45
2022 01 02 20 00    258.66      7.97
2022 01 02 20 10    259.72      8.47
2022 01 02 20 20    260.64      8.21
2022 01 02 20 30    262.30      8.68
2022 01 02 20 40    263.29      8.55
2022 01 02 20 50    263.62      7.96
2022 01 02 21 00    261.07      8.56
2022 01 02 21 10    267.06      7.58
