Härkingen-A1
Messstation Nr.:   6
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    133.91      0.80
2022 01 02 01 40    133.65      0.99
2022 01 02 01 50    132.85      0.75
2022 01 02 02 00    177.66      0.50
2022 01 02 02 10    161.40      0.76
2022 01 02 02 20    151.30      1.00
2022 01 02 02 30    142.65      1.01
2022 01 02 02 40    134.72      0.91
2022 01 02 02 50    147.36      1.55
2022 01 02 03 00    149.34      1.57
2022 01 02 03 10    153.22      1.13
2022 01 02 03 20    160.54      1.07
2022 01 02 03 30    155.43      1.18
2022 01 02 03 40    154.69      1.20
2022 01 02 03 50    163.09      0.85
2022 01 02 04 00    157.10      1.00
2022 01 02 04 10    147.80      1.12
2022 01 02 04 20    144.99      1.09
2022 01 02 04 30    144.28      1.16
2022 01 02 04 40    148.43      1.19
2022 01 02 04 50    166.86      1.05
2022 01 02 05 00    170.28      0.93
2022 01 02 05 10    167.17      0.82
2022 01 02 05 20    148.61      1.17
2022 01 02 05 30    132.63      1.03
2022 01 02 05 40    141.97      0.99
2022 01 02 05 50    131.25      0.80
2022 01 02 06 00    127.25      0.71
2022 01 02 06 10    176.65      0.60
2022 01 02 06 20    207.26      0.98
2022 01 02 06 30    245.65      1.52
2022 01 02 06 40    236.44      1.89
2022 01 02 06 50    240.21      1.16
2022 01 02 07 00    151.16      0.99
2022 01 02 07 10    139.29      0.86
2022 01 02 07 20    145.04      0.87
2022 01 02 07 30    165.73      0.56
2022 01 02 07 40    143.29      0.58
2022 01 02 07 50    239.63      1.07
2022 01 02 08 00    244.81      1.32
2022 01 02 08 10    242.74      1.96
2022 01 02 08 20    241.05      1.44
2022 01 02 08 30    209.27      0.65
2022 01 02 08 40    232.12      0.77
2022 01 02 08 50    214.41      0.59
2022 01 02 09 00    167.11      0.84
2022 01 02 09 10    128.16      0.86
2022 01 02 09 20    133.93      0.85
2022 01 02 09 30    111.79      0.53
2022 01 02 09 40    148.42      1.08
